ts;raw;calc
2017.06.28 19:23:39:104;26.76;21.03
2017.06.28 19:23:40:164;26.76;21.04
2017.06.28 19:23:41:321;26.77;21.04
2017.06.28 19:23:42:384;26.77;21.04
2017.06.28 19:23:43:466;26.78;21.05
2017.06.28 19:23:44:596;26.78;21.05
2017.06.28 19:23:45:657;26.79;21.05
2017.06.28 19:23:46:743;26.79;21.06
2017.06.28 19:23:47:805;26.8;21.06
2017.06.28 19:23:48:866;26.8;21.07
2017.06.28 19:23:50:024;26.81;21.07
2017.06.28 19:23:51:151;26.81;21.07
2017.06.28 19:23:52:305;26.82;21.08
2017.06.28 19:23:53:403;26.82;21.08
2017.06.28 19:23:54:465;26.83;21.08
2017.06.28 19:23:55:549;26.83;21.09
2017.06.28 19:23:56:612;26.84;21.09
2017.06.28 19:23:57:673;26.84;21.09
2017.06.28 19:23:58:736;26.84;21.1
2017.06.28 19:23:59:835;26.85;21.1
2017.06.28 19:24:00:981;26.85;21.1
2017.06.28 19:24:02:114;26.85;21.1
2017.06.28 19:24:03:234;26.85;21.1
2017.06.28 19:24:04:360;26.86;21.1
2017.06.28 19:24:05:487;26.86;21.11
2017.06.28 19:24:06:613;26.86;21.11
2017.06.28 19:24:07:739;26.86;21.11
2017.06.28 19:24:08:866;26.86;21.11
2017.06.28 19:24:09:928;26.87;21.11
2017.06.28 19:24:11:011;26.87;21.11
2017.06.28 19:24:12:075;26.87;21.12
2017.06.28 19:24:13:136;26.87;21.12
2017.06.28 19:24:14:199;26.87;21.12
2017.06.28 19:24:15:261;26.87;21.12
2017.06.28 19:24:16:322;26.87;21.12
2017.06.28 19:24:17:465;26.88;21.12
2017.06.28 19:24:18:594;26.88;21.12
2017.06.28 19:24:19:721;26.88;21.13
2017.06.28 19:24:20:844;26.89;21.13
2017.06.28 19:24:21:907;26.89;21.13
2017.06.28 19:24:23:099;26.89;21.13
2017.06.28 19:24:24:227;26.89;21.13
2017.06.28 19:24:25:308;26.9;21.14
2017.06.28 19:24:26:370;26.9;21.14
2017.06.28 19:24:27:502;26.9;21.14
2017.06.28 19:24:28:564;26.91;21.14
2017.06.28 19:24:29:628;26.91;21.14
2017.06.28 19:24:30:780;26.91;21.14
2017.06.28 19:24:31:842;26.91;21.14
2017.06.28 19:24:32:925;26.91;21.14
2017.06.28 19:24:34:061;26.91;21.14
2017.06.28 19:24:35:181;26.91;21.15
2017.06.28 19:24:36:301;26.91;21.14
2017.06.28 19:24:37:371;26.91;21.14
2017.06.28 19:24:38:458;26.91;21.15
2017.06.28 19:24:39:586;26.91;21.15
2017.06.28 19:24:40:647;26.91;21.15
2017.06.28 19:24:41:730;26.92;21.15
2017.06.28 19:24:42:871;26.92;21.15
2017.06.28 19:24:43:930;26.92;21.15
2017.06.28 19:24:45:009;26.92;21.15
2017.06.28 19:24:46:128;26.92;21.16
2017.06.28 19:24:47:200;26.93;21.16
2017.06.28 19:24:48:285;26.93;21.16
2017.06.28 19:24:49:414;26.93;21.16
2017.06.28 19:24:50:479;26.93;21.16
2017.06.28 19:24:51:545;26.93;21.16
2017.06.28 19:24:52:621;26.93;21.16
2017.06.28 19:24:53:704;26.94;21.16
2017.06.28 19:24:54:841;26.94;21.17
2017.06.28 19:24:55:904;26.94;21.17
2017.06.28 19:24:56:988;26.94;21.17
2017.06.28 19:24:58:220;26.94;21.17
2017.06.28 19:24:59:283;26.95;21.18
2017.06.28 19:25:00:369;26.95;21.18
2017.06.28 19:25:01:433;26.96;21.18
2017.06.28 19:25:02:493;26.96;21.18
2017.06.28 19:25:03:566;26.96;21.19
2017.06.28 19:25:04:641;26.97;21.19
2017.06.28 19:25:05:809;26.97;21.19
2017.06.28 19:25:06:924;26.98;21.2
2017.06.28 19:25:08:006;26.98;21.2
2017.06.28 19:25:09:176;26.98;21.2
2017.06.28 19:25:10:303;26.98;21.2
2017.06.28 19:25:11:429;26.99;21.2
2017.06.28 19:25:12:561;26.99;21.21
2017.06.28 19:25:13:623;26.99;21.21
2017.06.28 19:25:14:704;26.99;21.21
2017.06.28 19:25:15:832;27;21.21
2017.06.28 19:25:16:896;27;21.21
2017.06.28 19:25:17:957;27;21.21
2017.06.28 19:25:19:018;27;21.21
2017.06.28 19:25:20:085;27;21.22
2017.06.28 19:25:21:146;27.01;21.22
2017.06.28 19:25:22:332;27.01;21.22
2017.06.28 19:25:23:408;27.01;21.22
2017.06.28 19:25:24:537;27.02;21.23
2017.06.28 19:25:25:600;27.02;21.23
2017.06.28 19:25:26:684;27.02;21.23
2017.06.28 19:25:27:814;27.03;21.23
2017.06.28 19:25:28:877;27.03;21.24
2017.06.28 19:25:29:961;27.04;21.24
2017.06.28 19:25:31:090;27.04;21.24
2017.06.28 19:25:32:217;27.04;21.25
2017.06.28 19:25:33:346;27.05;21.25
2017.06.28 19:25:34:406;27.05;21.25
2017.06.28 19:25:35:467;27.05;21.25
2017.06.28 19:25:36:621;27.06;21.26
2017.06.28 19:25:37:748;27.06;21.26
2017.06.28 19:25:38:809;27.06;21.26
2017.06.28 19:25:39:870;27.07;21.26
2017.06.28 19:25:41:023;27.07;21.27
2017.06.28 19:25:42:095;27.08;21.27
2017.06.28 19:25:43:170;27.08;21.27
2017.06.28 19:25:44:311;27.08;21.28
2017.06.28 19:25:45:377;27.09;21.28
2017.06.28 19:25:46:448;27.09;21.28
2017.06.28 19:25:47:588;27.09;21.28
2017.06.28 19:25:48:703;27.09;21.28
2017.06.28 19:25:49:931;27.09;21.28
2017.06.28 19:25:51:058;27.09;21.28
2017.06.28 19:25:52:128;27.09;21.28
2017.06.28 19:25:53:229;27.09;21.28
2017.06.28 19:25:54:336;27.09;21.28
2017.06.28 19:25:55:460;27.09;21.28
2017.06.28 19:25:56:521;27.09;21.28
2017.06.28 19:25:57:600;27.09;21.28
2017.06.28 19:25:58:726;27.09;21.28
2017.06.28 19:25:59:822;27.09;21.28
2017.06.28 19:26:00:884;27.09;21.28
2017.06.28 19:26:02:028;27.09;21.28
2017.06.28 19:26:03:142;27.1;21.29
2017.06.28 19:26:04:207;27.1;21.29
2017.06.28 19:26:05:273;27.1;21.29
2017.06.28 19:26:06:336;27.1;21.29
2017.06.28 19:26:07:402;27.11;21.29
2017.06.28 19:26:08:464;27.11;21.3
2017.06.28 19:26:09:528;27.11;21.3
2017.06.28 19:26:10:589;27.12;21.3
2017.06.28 19:26:11:653;27.12;21.3
2017.06.28 19:26:12:720;27.12;21.31
2017.06.28 19:26:13:786;27.13;21.31
2017.06.28 19:26:14:848;27.13;21.31
2017.06.28 19:26:15:910;27.13;21.31
2017.06.28 19:26:16:978;27.14;21.31
2017.06.28 19:26:18:048;27.14;21.32
2017.06.28 19:26:19:111;27.14;21.32
2017.06.28 19:26:20:174;27.15;21.32
2017.06.28 19:26:21:236;27.15;21.32
2017.06.28 19:26:22:338;27.15;21.33
2017.06.28 19:26:23:407;27.16;21.33
2017.06.28 19:26:24:465;27.16;21.33
2017.06.28 19:26:25:525;27.16;21.33
2017.06.28 19:26:26:585;27.16;21.34
2017.06.28 19:26:27:645;27.16;21.34
2017.06.28 19:26:28:738;27.17;21.34
2017.06.28 19:26:29:800;27.17;21.34
2017.06.28 19:26:30:866;27.17;21.34
2017.06.28 19:26:32:017;27.17;21.34
2017.06.28 19:26:33:083;27.17;21.34
2017.06.28 19:26:34:156;27.18;21.35
2017.06.28 19:26:35:218;27.18;21.35
2017.06.28 19:26:36:279;27.18;21.35
2017.06.28 19:26:37:340;27.19;21.35
2017.06.28 19:26:38:400;27.19;21.36
2017.06.28 19:26:39:469;27.19;21.36
2017.06.28 19:26:40:620;27.2;21.36
2017.06.28 19:26:41:683;27.2;21.36
2017.06.28 19:26:42:752;27.2;21.36
2017.06.28 19:26:43:813;27.2;21.37
2017.06.28 19:26:44:876;27.21;21.37
2017.06.28 19:26:45:937;27.21;21.37
2017.06.28 19:26:46:997;27.21;21.37
2017.06.28 19:26:48:095;27.21;21.37
2017.06.28 19:26:49:163;27.22;21.38
2017.06.28 19:26:50:242;27.22;21.38
2017.06.28 19:26:51:303;27.22;21.38
2017.06.28 19:26:52:363;27.23;21.38
2017.06.28 19:26:53:521;27.23;21.39
2017.06.28 19:26:54:648;27.23;21.39
2017.06.28 19:26:55:712;27.23;21.39
2017.06.28 19:26:56:800;27.23;21.39
2017.06.28 19:26:57:868;27.23;21.39
2017.06.28 19:26:58:946;27.24;21.39
2017.06.28 19:27:00:006;27.24;21.39
2017.06.28 19:27:01:098;27.24;21.39
2017.06.28 19:27:02:226;27.24;21.39
2017.06.28 19:27:03:287;27.24;21.39
2017.06.28 19:27:04:347;27.24;21.39
2017.06.28 19:27:05:503;27.24;21.4
2017.06.28 19:27:06:572;27.25;21.4
2017.06.28 19:27:07:643;27.25;21.4
2017.06.28 19:27:08:780;27.25;21.4
2017.06.28 19:27:09:913;27.26;21.41
2017.06.28 19:27:10:973;27.26;21.41
2017.06.28 19:27:12:034;27.26;21.41
2017.06.28 19:27:13:096;27.25;21.4
2017.06.28 19:27:14:211;27.25;21.4
2017.06.28 19:27:15:280;27.26;21.41
2017.06.28 19:27:16:341;27.26;21.41
2017.06.28 19:27:17:406;27.26;21.41
2017.06.28 19:27:18:465;27.26;21.41
2017.06.28 19:27:19:535;27.27;21.41
2017.06.28 19:27:20:657;27.27;21.42
2017.06.28 19:27:21:719;27.27;21.42
2017.06.28 19:27:22:941;27.27;21.42
2017.06.28 19:27:24:140;27.28;21.42
2017.06.28 19:27:25:196;27.28;21.42
2017.06.28 19:27:26:286;27.28;21.42
2017.06.28 19:27:27:433;27.28;21.42
2017.06.28 19:27:28:503;27.28;21.43
2017.06.28 19:27:29:572;27.28;21.43
2017.06.28 19:27:30:634;27.29;21.43
2017.06.28 19:27:31:704;27.29;21.43
2017.06.28 19:27:32:796;27.29;21.43
2017.06.28 19:27:33:976;27.29;21.43
2017.06.28 19:27:35:101;27.3;21.44
2017.06.28 19:27:36:222;27.3;21.44
2017.06.28 19:27:37:285;27.3;21.44
2017.06.28 19:27:38:380;27.3;21.44
2017.06.28 19:27:39:499;27.31;21.44
2017.06.28 19:27:40:566;27.31;21.45
2017.06.28 19:27:41:626;27.31;21.45
2017.06.28 19:27:42:692;27.32;21.45
2017.06.28 19:27:43:755;27.32;21.45
2017.06.28 19:27:44:959;27.32;21.45
2017.06.28 19:27:46:028;27.32;21.45
2017.06.28 19:27:47:136;27.32;21.45
2017.06.28 19:27:48:462;27.32;21.46
2017.06.28 19:27:49:582;27.32;21.46
2017.06.28 19:27:50:775;27.32;21.46
2017.06.28 19:27:51:854;27.33;21.46
2017.06.28 19:27:53:094;27.33;21.46
2017.06.28 19:27:54:189;27.33;21.46
2017.06.28 19:27:55:266;27.33;21.46
2017.06.28 19:27:56:332;27.33;21.46
2017.06.28 19:27:57:431;27.33;21.46
2017.06.28 19:27:58:562;27.33;21.46
2017.06.28 19:27:59:682;27.33;21.46
2017.06.28 19:28:00:929;27.33;21.47
2017.06.28 19:28:02:193;27.34;21.47
2017.06.28 19:28:03:451;27.34;21.47
2017.06.28 19:28:04:636;27.34;21.47
2017.06.28 19:28:05:709;27.34;21.47
2017.06.28 19:28:06:772;27.34;21.47
2017.06.28 19:28:07:861;27.35;21.47
2017.06.28 19:28:08:924;27.35;21.47
2017.06.28 19:28:10:013;27.35;21.47
2017.06.28 19:28:11:074;27.35;21.48
2017.06.28 19:28:12:134;27.35;21.48
2017.06.28 19:28:13:196;27.35;21.48
2017.06.28 19:28:14:317;27.35;21.48
2017.06.28 19:28:15:379;27.36;21.48
2017.06.28 19:28:16:439;27.36;21.48
2017.06.28 19:28:17:505;27.36;21.48
2017.06.28 19:28:18:616;27.35;21.48
2017.06.28 19:28:19:677;27.35;21.48
2017.06.28 19:28:20:763;27.35;21.48
2017.06.28 19:28:21:824;27.36;21.48
2017.06.28 19:28:22:886;27.36;21.48
2017.06.28 19:28:23:936;27.36;21.48
2017.06.28 19:28:25:067;27.36;21.48
2017.06.28 19:28:26:193;27.36;21.49
2017.06.28 19:28:27:320;27.37;21.49
2017.06.28 19:28:28:446;27.37;21.49
2017.06.28 19:28:29:519;27.38;21.5
2017.06.28 19:28:30:785;27.38;21.5
2017.06.28 19:28:31:935;27.39;21.5
2017.06.28 19:28:33:131;27.39;21.51
2017.06.28 19:28:34:290;27.39;21.51
2017.06.28 19:28:35:358;27.4;21.51
2017.06.28 19:28:36:430;27.4;21.52
2017.06.28 19:28:37:492;27.4;21.52
2017.06.28 19:28:38:553;27.41;21.52
2017.06.28 19:28:39:614;27.41;21.52
2017.06.28 19:28:40:676;27.41;21.52
2017.06.28 19:28:41:737;27.41;21.53
2017.06.28 19:28:42:799;27.42;21.53
2017.06.28 19:28:43:859;27.42;21.53
2017.06.28 19:28:44:921;27.42;21.53
2017.06.28 19:28:45:985;27.42;21.53
2017.06.28 19:28:47:056;27.42;21.53
2017.06.28 19:28:48:119;27.43;21.53
2017.06.28 19:28:49:181;27.43;21.54
2017.06.28 19:28:50:254;27.43;21.54
2017.06.28 19:28:51:313;27.43;21.54
2017.06.28 19:28:52:373;27.43;21.54
2017.06.28 19:28:53:449;27.44;21.54
2017.06.28 19:28:54:515;27.44;21.54
2017.06.28 19:28:55:671;27.44;21.54
2017.06.28 19:28:56:731;27.44;21.54
2017.06.28 19:28:57:834;27.44;21.54
2017.06.28 19:28:58:896;27.44;21.55
2017.06.28 19:28:59:982;27.44;21.55
2017.06.28 19:29:01:050;27.44;21.55
2017.06.28 19:29:02:133;27.44;21.55
2017.06.28 19:29:03:262;27.45;21.55
2017.06.28 19:29:04:322;27.45;21.55
2017.06.28 19:29:05:382;27.45;21.55
2017.06.28 19:29:06:445;27.45;21.55
2017.06.28 19:29:07:563;27.45;21.55
2017.06.28 19:29:08:623;27.45;21.55
2017.06.28 19:29:09:709;27.45;21.55
2017.06.28 19:29:10:840;27.45;21.55
2017.06.28 19:29:11:904;27.45;21.56
2017.06.28 19:29:12:987;27.46;21.56
2017.06.28 19:29:14:091;27.46;21.56
2017.06.28 19:29:15:152;27.46;21.56
2017.06.28 19:29:16:276;27.46;21.56
2017.06.28 19:29:17:336;27.46;21.56
2017.06.28 19:29:18:404;27.46;21.56
2017.06.28 19:29:19:543;27.46;21.56
2017.06.28 19:29:20:670;27.46;21.56
2017.06.28 19:29:21:734;27.46;21.56
2017.06.28 19:29:23:015;27.46;21.56
2017.06.28 19:29:24:151;27.46;21.56
2017.06.28 19:29:25:278;27.46;21.56
2017.06.28 19:29:26:404;27.45;21.56
2017.06.28 19:29:27:467;27.45;21.55
2017.06.28 19:29:28:529;27.45;21.55
2017.06.28 19:29:29:686;27.45;21.55
2017.06.28 19:29:30:808;27.45;21.55
2017.06.28 19:29:31:870;27.45;21.55
2017.06.28 19:29:32:932;27.45;21.55
2017.06.28 19:29:34:085;27.45;21.55
2017.06.28 19:29:35:162;27.45;21.55
2017.06.28 19:29:36:374;27.45;21.55
2017.06.28 19:29:37:493;27.45;21.55
2017.06.28 19:29:38:659;27.45;21.55
2017.06.28 19:29:39:724;27.45;21.55
2017.06.28 19:29:40:792;27.45;21.55
2017.06.28 19:29:41:958;27.45;21.55
2017.06.28 19:29:43:076;27.45;21.55
2017.06.28 19:29:44:224;27.45;21.55
2017.06.28 19:29:45:349;27.45;21.55
2017.06.28 19:29:46:414;27.45;21.55
2017.06.28 19:29:47:497;27.45;21.55
2017.06.28 19:29:48:567;27.45;21.55
2017.06.28 19:29:49:646;27.45;21.55
2017.06.28 19:29:50:776;27.45;21.55
2017.06.28 19:29:51:903;27.45;21.55
2017.06.28 19:29:53:029;27.45;21.55
2017.06.28 19:29:54:156;27.45;21.55
2017.06.28 19:29:55:281;27.45;21.55
2017.06.28 19:29:56:408;27.45;21.55
2017.06.28 19:29:57:535;27.45;21.55
2017.06.28 19:29:58:660;27.45;21.55
2017.06.28 19:29:59:722;27.45;21.55
2017.06.28 19:30:00:785;27.45;21.55
2017.06.28 19:30:01:945;27.45;21.55
2017.06.28 19:30:03:007;27.45;21.55
2017.06.28 19:30:04:068;27.45;21.55
2017.06.28 19:30:05:214;27.45;21.55
2017.06.28 19:30:06:340;27.45;21.55
2017.06.28 19:30:07:401;27.46;21.56
2017.06.28 19:30:08:462;27.46;21.56
2017.06.28 19:30:09:618;27.46;21.56
2017.06.28 19:30:10:743;27.46;21.56
2017.06.28 19:30:11:806;27.46;21.56
2017.06.28 19:30:12:891;27.46;21.56
2017.06.28 19:30:13:952;27.47;21.56
2017.06.28 19:30:15:044;27.47;21.56
2017.06.28 19:30:16:171;27.47;21.56
2017.06.28 19:30:17:394;27.46;21.56
2017.06.28 19:30:18:458;27.46;21.56
2017.06.28 19:30:19:547;27.46;21.56
2017.06.28 19:30:20:677;27.45;21.55
2017.06.28 19:30:21:737;27.45;21.55
2017.06.28 19:30:22:885;27.45;21.55
2017.06.28 19:30:23:936;27.45;21.55
2017.06.28 19:30:24:994;27.44;21.55
2017.06.28 19:30:26:104;27.44;21.55
2017.06.28 19:30:27:230;27.44;21.55
2017.06.28 19:30:28:356;27.44;21.55
2017.06.28 19:30:29:482;27.44;21.55
2017.06.28 19:30:30:542;27.44;21.55
2017.06.28 19:30:31:633;27.44;21.55
2017.06.28 19:30:32:760;27.44;21.55
2017.06.28 19:30:33:839;27.44;21.55
2017.06.28 19:30:35:012;27.44;21.54
2017.06.28 19:30:36:139;27.44;21.54
2017.06.28 19:30:37:265;27.44;21.54
2017.06.28 19:30:38:343;27.44;21.54
2017.06.28 19:30:39:518;27.44;21.55
2017.06.28 19:30:40:644;27.44;21.55
2017.06.28 19:30:41:771;27.44;21.55
2017.06.28 19:30:42:897;27.45;21.55
2017.06.28 19:30:43:959;27.45;21.55
2017.06.28 19:30:45:045;27.45;21.55
2017.06.28 19:30:46:109;27.45;21.55
2017.06.28 19:30:47:194;27.46;21.56
2017.06.28 19:30:48:325;27.46;21.56
2017.06.28 19:30:49:450;27.46;21.56
2017.06.28 19:30:50:577;27.46;21.56
2017.06.28 19:30:51:704;27.47;21.56
2017.06.28 19:30:52:829;27.47;21.57
2017.06.28 19:30:53:956;27.47;21.57
2017.06.28 19:30:55:083;27.47;21.57
2017.06.28 19:30:56:209;27.48;21.57
2017.06.28 19:30:57:336;27.48;21.57
2017.06.28 19:30:58:423;27.48;21.57
2017.06.28 19:30:59:516;27.48;21.58
2017.06.28 19:31:00:609;27.48;21.58
2017.06.28 19:31:01:739;27.48;21.58
2017.06.28 19:31:02:865;27.48;21.58
2017.06.28 19:31:03:925;27.48;21.58
2017.06.28 19:31:05:012;27.48;21.57
2017.06.28 19:31:06:141;27.48;21.57
2017.06.28 19:31:07:269;27.48;21.57
2017.06.28 19:31:08:330;27.48;21.57
2017.06.28 19:31:09:416;27.48;21.57
2017.06.28 19:31:10:553;27.48;21.57
2017.06.28 19:31:11:672;27.48;21.57
2017.06.28 19:31:12:801;27.48;21.57
2017.06.28 19:31:13:932;27.48;21.57
2017.06.28 19:31:15:001;27.48;21.57
2017.06.28 19:31:16:071;27.48;21.57
2017.06.28 19:31:17:131;27.48;21.57
2017.06.28 19:31:18:225;27.48;21.57
2017.06.28 19:31:19:351;27.48;21.57
2017.06.28 19:31:20:413;27.48;21.57
2017.06.28 19:31:21:474;27.48;21.57
2017.06.28 19:31:22:613;27.48;21.57
2017.06.28 19:31:23:664;27.48;21.58
2017.06.28 19:31:24:720;27.48;21.58
2017.06.28 19:31:25:800;27.48;21.58
2017.06.28 19:31:26:959;27.48;21.58
2017.06.28 19:31:28:056;27.49;21.58
2017.06.28 19:31:29:116;27.49;21.58
2017.06.28 19:31:30:209;27.49;21.58
2017.06.28 19:31:31:333;27.49;21.58
2017.06.28 19:31:32:395;27.49;21.58
2017.06.28 19:31:33:480;27.49;21.58
2017.06.28 19:31:34:610;27.49;21.58
2017.06.28 19:31:35:670;27.49;21.58
2017.06.28 19:31:36:756;27.49;21.58
2017.06.28 19:31:37:885;27.49;21.58
2017.06.28 19:31:39:012;27.49;21.58
2017.06.28 19:31:40:074;27.49;21.58
2017.06.28 19:31:41:139;27.49;21.58
2017.06.28 19:31:42:206;27.49;21.58
2017.06.28 19:31:43:314;27.5;21.59
2017.06.28 19:31:44:375;27.5;21.59
2017.06.28 19:31:45:471;27.5;21.59
2017.06.28 19:31:46:590;27.5;21.59
2017.06.28 19:31:47:716;27.5;21.59
2017.06.28 19:31:48:846;27.51;21.59
2017.06.28 19:31:49:909;27.51;21.59
2017.06.28 19:31:50:990;27.51;21.6
2017.06.28 19:31:52:053;27.51;21.6
2017.06.28 19:31:53:114;27.51;21.6
2017.06.28 19:31:54:165;27.51;21.6
2017.06.28 19:31:55:294;27.51;21.6
2017.06.28 19:31:56:354;27.51;21.6
2017.06.28 19:31:57:442;27.51;21.6
2017.06.28 19:31:58:572;27.51;21.6
2017.06.28 19:31:59:698;27.51;21.6
2017.06.28 19:32:00:777;27.51;21.6
2017.06.28 19:32:01:873;27.51;21.6
